PlayerID,Rank,Damage
95871,#408,"26,558,349,857"
38591,#409,"26,409,654,412"
21674,#410,"26,305,051,598"
65457,#411,"26,288,366,914"
52855,#412,"26,108,948,205"
81361,#413,"25,939,995,347"
100642,#414,"25,939,689,020"
103469,#415,"25,928,464,360"
80840,#416,"25,842,752,682"
109392,#417,"25,681,606,757"
109438,#418,"25,630,160,509"
89377,#419,"25,398,525,759"
90330,#420,"25,142,882,729"
65064,#421,"25,097,126,033"
115709,#422,"25,060,529,879"
62211,#423,"24,733,735,777"
81223,#424,"24,686,624,043"
32776,#425,"24,415,967,070"
39601,#426,"24,281,343,508"
56617,#427,"24,232,043,857"
24206,#428,"24,158,718,825"
90643,#429,"24,124,882,668"
99418,#430,"24,087,288,900"
57624,#431,"24,040,609,413"
61323,#432,"24,019,520,286"
63472,#433,"23,925,351,829"
5597,#434,"23,918,975,485"
21346,#435,"23,895,339,283"
78581,#436,"23,871,659,333"
99614,#437,"23,720,520,051"
77703,#438,"23,520,071,485"
78107,#439,"23,358,431,395"
102660,#440,"23,335,907,367"
10165,#441,"23,333,322,866"
62327,#442,"23,253,763,832"
50221,#443,"23,216,545,025"
81308,#444,"23,114,350,377"
91932,#445,"23,020,887,744"
65655,#446,"22,935,299,835"
99156,#447,"22,766,856,252"
78492,#448,"22,749,356,060"
100455,#449,"22,710,477,545"
79360,#450,"22,677,521,698"
30720,#451,"22,640,344,258"
100060,#452,"22,535,512,712"
78902,#453,"22,489,194,621"
78899,#454,"22,450,783,764"
56261,#455,"22,390,533,722"
77837,#456,"22,363,470,574"
75630,#457,"22,321,826,038"
92928,#458,"22,282,988,461"
99464,#459,"22,268,191,782"
44213,#460,"22,166,060,425"
40560,#461,"21,950,494,833"
29649,#462,"21,909,967,139"
107570,#463,"21,876,038,581"
45752,#464,"21,794,518,471"
76694,#465,"21,757,324,586"
79259,#466,"21,706,612,785"
26463,#467,"21,624,804,804"
78012,#468,"21,589,411,302"
91023,#469,"21,580,185,837"
105154,#470,"21,498,480,918"
47081,#471,"21,439,326,106"
96564,#472,"21,403,034,785"
11424,#473,"21,375,804,348"
48236,#474,"21,121,322,181"
88925,#475,"21,006,998,784"
66415,#476,"20,922,277,993"
36183,#477,"20,910,058,533"
59850,#478,"20,791,361,322"
72919,#479,"20,642,445,379"
89078,#480,"20,342,408,933"
65494,#481,"20,290,163,526"
107655,#482,"20,219,671,684"
103769,#483,"20,197,491,110"
60259,#484,"19,999,116,759"
77028,#485,"19,783,561,707"
81360,#486,"19,737,766,228"
94913,#487,"19,655,079,368"
48531,#488,"19,648,274,717"
106829,#489,"19,283,993,432"
90532,#490,"19,273,356,520"
96630,#491,"19,244,008,738"
38692,#492,"19,135,988,322"
29812,#493,"19,104,379,179"
79355,#494,"18,968,316,812"
74253,#495,"18,932,558,379"
46642,#496,"18,808,259,513"
68458,#497,"18,690,114,806"
117502,#498,"18,414,399,426"
65385,#499,"17,990,256,374"
77584,#500,"17,976,765,827"
